Franklin-Paxinos Full name,Franklin-Paxinos abbreviation,Structural ID,structure Order,red,green,blue,Parent ID,Parent abbreviation,Allen Full name,Allen abbreviation,,,
Piriform cortex 2,Pir2,284,33900,160,255,167,961,PIR,"Piriform area, pyramidal layer",PIR2,,,
Piriform cortex 3,Pir3,291,34000,160,255,167,961,PIR,"Piriform area, polymorph layer",PIR3,,,
Cortex-amygdala transition zone,CxA,2024,34010,160,255,170,961,PIR,,,,,
Cortex-amygdala transition zone Layer1,CxA1,2303,34020,160,255,170,2024,CxA,,,,,
Cortex-amygdala transition zone Layer2,CxA2,2304,34030,160,255,170,2024,CxA,,,,,
Cortex-amygdala transition zone Layer3,CxA3,2305,34040,160,255,170,2024,CxA,,,,,
Nucleus of the lateral olfactory tract,LOT,619,34100,160,255,170,698,OLF,Nucleus of the lateral olfactory tract,NLOT,,,
Nucleus of the lateral olfactory tract 1,LOT1,260,34300,160,255,170,619,LOT,"Nucleus of the lateral olfactory tract, molecular layer",NLOT1,,,
Nucleus of the lateral olfactory tract 2,LOT2,268,34400,160,255,170,619,LOT,"Nucleus of the lateral olfactory tract, pyramidal layer",NLOT2,,,
Nucleus of the lateral olfactory tract 3,LOT3,1139,34500,160,255,170,619,LOT,"Nucleus of the lateral olfactory tract, layer 3",NLOT3,,,
cortical amygdaloid nucleus,CO,631,34600,160,255,177,698,OLF,Cortical amygdalar area,COA,,,
Anterior cortical amygdaloid nucleus,ACo ,639,34700,160,255,178,631,CO,"Cortical amygdalar area, anterior part",COAa,,,
"Anterior cortical amygdaloid nucleus, layer1",ACo-1,192,34800,160,255,178,639,ACo ,"Cortical amygdalar area, anterior part, layer 1",COAa1,,,
"Anterior cortical amygdaloid nucleus, layer2",ACo-2,200,34900,160,255,178,639,ACo ,"Cortical amygdalar area, anterior part, layer 2",COAa2,,,
"Anterior cortical amygdaloid nucleus, layer3",ACo-3,208,35000,160,255,178,639,ACo ,"Cortical amygdalar area, anterior part, layer 3",COAa3,,,
Posterior cortical amygdaloid area,PCO,647,35100,160,255,179,631,CO,"Cortical amygdalar area, posterior part",COAp,,,
Posterolateral cortical amygdaloid area,PLCo,655,35200,160,255,180,647,PCO,"Cortical amygdalar area, posterior part, lateral zone",COApl,,,
Posterolateral cortical amygdaloid area 1,PLCo1,216,35500,160,255,180,655,PLCo,"Cortical amygdalar area, posterior part, lateral zone, layer 1",COApl1,,,
Posterolateral cortical amygdaloid area 2,PLCo2,224,35600,160,255,180,655,PLCo,"Cortical amygdalar area, posterior part, lateral zone, layer 2",COApl2,,,
Posterolateral cortical amygdaloid area 3,PLCo3,232,35700,160,255,180,655,PLCo,"Cortical amygdalar area, posterior part, lateral zone, layer 3",COApl3,,,
Posteromedial cortical amygdaloid area,PMCo,663,35800,160,255,181,647,PCO,"Cortical amygdalar area, posterior part, medial zone",COApm,,,
Posteromedial cortical amygdaloid area 1,PMCo1,240,36100,160,255,181,663,PMCo,"Cortical amygdalar area, posterior part, medial zone, layer 1",COApm1,,,
Posteromedial cortical amygdaloid area 2,PMCo2,248,36200,160,255,181,663,PMCo,"Cortical amygdalar area, posterior part, medial zone, layer 2",COApm2,,,
Posteromedial cortical amygdaloid area 3,PMCo3,256,36300,160,255,181,663,PMCo,"Cortical amygdalar area, posterior part, medial zone, layer 3",COApm3,,,
Rostral amygdalopiriform area,RAPir,788,36400,160,255,169,698,OLF,Piriform-amygdalar area,PAA,,,
Rostral amygdalopiriform area 1,RAPir1,408,36600,160,255,169,788,RAPir,"Piriform-amygdalar area, molecular layer",PAA1,,,
Rostral amygdalopiriform area 2,RAPir2,416,36700,160,255,169,788,RAPir,"Piriform-amygdalar area, pyramidal layer",PAA2,,,
Rostral amygdalopiriform area 3,RAPir3,424,36800,160,255,169,788,RAPir,"Piriform-amygdalar area, polymorph layer",PAA3,,,
Amygdalopiriform transition area,Apir,566,36900,160,255,166,698,OLF,Postpiriform transition area,TR,,,
"Postpiriform transition area, layers 1",APir1,1140,37100,160,255,166,566,Apir,"Postpiriform transition area, layers 1",TR1,,,
"Postpiriform transition area, layers 2",APir2,1141,37200,160,255,166,566,Apir,"Postpiriform transition area, layers 2",TR2,,,
"Postpiriform transition area, layers 3",APir3,1142,37300,160,255,166,566,Apir,"Postpiriform transition area, layers 3",TR3,,,
Hippocampal formation,HPF,1089,37400,144,255,176,695,CTXpl,Hippocampal formation,HPF,,,
Hippocampal region,HIP,1080,37500,121,255,128,1089,HPF,Hippocampal region,HIP,,,
"'""Ammon''s horn""'",CA,375,37600,122,255,122,1080,HIP,Ammon's horn,CA,,,
Field CA1 of the hippocampus,CA1,382,37700,122,255,121,375,CA,Field CA1,CA1,,,
Field CA1 of the hippocampus- lacunosum moleculare layer of the hippocampus,LMol ,391,37800,123,255,121,382,CA1,"Field CA1, stratum lacunosum-moleculare",CA1slm,,,
Field CA1 of the hippocampus- oriens layer of the hippocampus,Or,399,37900,124,255,121,382,CA1,"Field CA1, stratum oriens",CA1so,,,
Field CA1 of the hippocampus- pyramidal layer of the hippocampus,Py,407,38000,75,230,70,382,CA1,"Field CA1, pyramidal layer",CA1sp,,,
Field CA1 of the hippocampus- radiatum layer of the hippocampus,Rad,415,38100,126,255,121,382,CA1,"Field CA1, stratum radiatum",CA1sr,,,
Field CA2 of the hippocampus,CA2,423,38200,122,255,120,375,CA,Field CA2,CA2,,,
Field CA2 of the hippocampus- lacunosum moleculare layer of the hippocampus,LMol ,431,38300,123,255,120,423,CA2,"Field CA2, stratum lacunosum-moleculare",CA2slm,,,
Field CA2 of the hippocampus- oriens layer of the hippocampus,Or,438,38400,124,255,120,423,CA2,"Field CA2, stratum oriens",CA2so,,,
Field CA2 of the hippocampus- pyramidal layer of the hippocampus,Py,446,38500,75,230,70,423,CA2,"Field CA2, pyramidal layer",CA2sp,,,
Field CA2 of the hippocampus- radiatum layer of the hippocampus,Rad,454,38600,126,255,120,423,CA2,"Field CA2, stratum radiatum",CA2sr,,,
Field CA3 of the hippocampus,CA3,463,38700,122,255,119,375,CA,Field CA3,CA3,,,
Field CA3 of the hippocampus- lacunosum moleculare layer of the hippocampus,LMol ,471,38800,123,255,119,463,CA3,"Field CA3, stratum lacunosum-moleculare",CA3slm,,,
Field CA3 of the hippocampus- stratum lucidum of the hippocampus,SLu ,479,38900,124,255,119,463,CA3,"Field CA3, stratum lucidum",CA3slu,,,
Field CA3 of the hippocampus- oriens layer of the hippocampus,Or,486,39000,125,255,119,463,CA3,"Field CA3, stratum oriens",CA3so,,,
Field CA3 of the hippocampus- pyramidal layer of the hippocampus,Py,495,39100,75,230,70,463,CA3,"Field CA3, pyramidal layer",CA3sp,,,
Field CA3 of the hippocampus- radiatum layer of the hippocampus,Rad,504,39200,127,255,119,463,CA3,"Field CA3, stratum radiatum",CA3sr,,,
Dentate gyrus,DG,726,39300,114,250,114,1080,HIP,Dentate gyrus,DG,,,
Molecular layer of the dentate gyrus,MoDG,10703,39400,114,250,114,726,DG,"Dentate gyrus, molecular layer",DG-mo,,,
Polymorph layer of the dentate gyrus,PoDG,10704,39500,94,230,94,726,DG,"Dentate gyrus, polymorph layer",DG-po,,,
Granule cell layer of the dentate gyrus,GrDG,632,39600,64,200,64,726,DG,"Dentate gyrus, granule cell layer",DG-sg,,,
,,,,,,,,,"Dentate gyrus, subgranular zone",DG-sgz,,,
,,,,,,,,,Dentate gyrus crest,DGcr,,,
,,,,,,,,,"Dentate gyrus crest, molecular layer",DGcr-mo,,,
,,,,,,,,,"Dentate gyrus crest, polymorph layer",DGcr-po,,,
,,,,,,,,,"Dentate gyrus crest, granule cell layer",DGcr-sg,,,
,,,,,,,,,Dentate gyrus lateral blade,DGlb,,,
,,,,,,,,,"Dentate gyrus lateral blade, molecular layer",DGlb-mo,,,
,,,,,,,,,"Dentate gyrus lateral blade, polymorph layer",DGlb-po,,,
,,,,,,,,,"Dentate gyrus lateral blade, granule cell layer",DGlb-sg,,,
,,,,,,,,,Dentate gyrus medial blade,DGmb,,,
,,,,,,,,,"Dentate gyrus medial blade, molecular layer",DGmb-mo,,,
,,,,,,,,,"Dentate gyrus medial blade, polymorph layer",DGmb-po,,,
,,,,,,,,,"Dentate gyrus medial blade, granule cell layer",DGmb-sg,,,
Fasciola cinereum,FC,982,41000,114,253,114,1080,HIP,Fasciola cinerea,FC,,,
Induseum griseum,IG,19,41100,114,254,114,1080,HIP,Induseum griseum,IG,,,
Retrohippocampal region,RHP,822,41200,144,255,176,1089,HPF,Retrohippocampal region,RHP,,,
Entorhinal area,ENT,909,41300,128,255,144,822,RHP,Entorhinal area,ENT,,,
Dorsolateral entorhinal cortex,DLEnt,918,41350,128,255,145,909,ENT,"Entorhinal area, lateral part",ENTl,,,
"Dorsolateral entorhinal cortex, layer 1",DLEnt1,1121,41400,0,104,101,918,DLEnt,"Entorhinal area, lateral part, layer 1",ENTl1,,,
"Dorsolateral entorhinal cortex, layer 2",DLEnt2,20,41500,0,114,116,918,DLEnt,"Entorhinal area, lateral part, layer 2",ENTl2,,,
"Dorsolateral entorhinal cortex, layer 2/3",DLEnt2/3,999,41600,50,133,139,918,DLEnt,"Entorhinal area, lateral part, layer 2/3",ENTl2/3,,,
"Dorsolateral entorhinal cortex, layer 2a",DLEnta,715,41700,0,115,122,918,DLEnt,"Entorhinal area, lateral part, layer 2a",ENTl2a,,,
"Dorsolateral entorhinal cortex, layer 2b",DLEntb,764,41800,0,128,132,918,DLEnt,"Entorhinal area, lateral part, layer 2b",ENTl2b,,,
"Dorsolateral entorhinal cortex, layer 3",DLEnt3,52,41900,86,151,158,918,DLEnt,"Entorhinal area, lateral part, layer 3",ENTl3,,,
"Dorsolateral entorhinal cortex, layer 4",DLEnt4,92,42000,117,161,167,918,DLEnt,"Entorhinal area, lateral part, layer 4",ENTl4,,,
"Dorsolateral entorhinal cortex, layer 4/5",DLEnt4/5,312,42100,157,184,189,918,DLEnt,"Entorhinal area, lateral part, layer 4/5",ENTl4/5,,,
"Dorsolateral entorhinal cortex, layer 5",DLEnt5,139,42200,190,204,206,918,DLEnt,"Entorhinal area, lateral part, layer 5",ENTl5,,,
"Dorsolateral entorhinal cortex, layer 5/6",DLEnt5/6,387,42300,138,168,168,918,DLEnt,"Entorhinal area, lateral part, layer 5/6",ENTl5/6,,,
"Dorsolateral entorhinal cortex, layer 6a",DLEnt6a,28,42400,148,179,173,918,DLEnt,"Entorhinal area, lateral part, layer 6a",ENTl6a,,,
"Dorsolateral entorhinal cortex, layer 6b",DLEnt6b,60,42500,180,199,193,918,DLEnt,"Entorhinal area, lateral part, layer 6b",ENTl6b,,,
Dorsal intermediate entorhinal cortex,DIEnt,926,42700,128,255,146,909,ENT,"Entorhinal area, medial part, dorsal zone",ENTm,,,
"Dorsal intermediate entorhinal cortex, layer 1",DIEnt1,526,42800,0,104,87,926,DIEnt,"Entorhinal area, medial part, dorsal zone, layer 1",ENTm1,,,
"Dorsal intermediate entorhinal cortex, layer 2",DIEnt2,543,42900,0,118,106,926,DIEnt,"Entorhinal area, medial part, dorsal zone, layer 2",ENTm2,,,
"Dorsal intermediate entorhinal cortex, layer 2a",DIEnt2a,468,43000,1,118,106,926,DIEnt,"Entorhinal area, medial part, dorsal zone, layer 2a",ENTm2a,,,
"Dorsal intermediate entorhinal cortex, layer 2b",DIEnt2b,508,43100,2,118,106,926,DIEnt,"Entorhinal area, medial part, dorsal zone, layer 2b",ENTm2b,,,
"Dorsal intermediate entorhinal cortex, layer 2/3",DIEnt2/3,2408,43110,2,118,106,926,DIEnt,,,,,
"Dorsal intermediate entorhinal cortex, layer 3",DIEnt3,664,43200,36,122,111,926,DIEnt,"Entorhinal area, medial part, dorsal zone, layer 3",ENTm3,,,
"Dorsal intermediate entorhinal cortex, layer 4",DIEnt4,712,43300,63,135,126,926,DIEnt,"Entorhinal area, medial part, dorsal zone, layer 4",ENTm4,,,
"Dorsal intermediate entorhinal cortex, layer 5",DIEnt5,727,43400,64,135,126,926,DIEnt,"Entorhinal area, medial part, dorsal zone, layer 5",ENTm5,,,
"Dorsal intermediate entorhinal cortex, layer 5/6",DIEnt5/6,550,43500,81,139,133,926,DIEnt,"Entorhinal area, medial part, dorsal zone, layer 5/6",ENTm5/6,,,
"Dorsal intermediate entorhinal cortex, layer 6",DIEnt6,743,43600,108,156,152,926,DIEnt,"Entorhinal area, medial part, dorsal zone, layer 6",ENTm6,,,
Ventral intermediate entorhinal cortex,VIEnt,934,43700,128,255,147,909,ENT,"Entorhinal area, medial part, ventral zone",ENTmv,,,
"Ventral intermediate entorhinal cortex, layer 1",VIEnt1,259,43800,0,104,96,934,VIEnt,"Entorhinal area, medial part, ventral zone, layer 1",ENTmv1,,,
"Ventral intermediate entorhinal cortex, layer 2",VIEnt2,324,43900,0,117,111,934,VIEnt,"Entorhinal area, medial part, ventral zone, layer 2",ENTmv2,,,
"Ventral intermediate entorhinal cortex, layer 3",VIEnt3,371,44000,35,122,117,934,VIEnt,"Entorhinal area, medial part, ventral zone, layer 3",ENTmv3,,,
"Ventral intermediate entorhinal cortex, layer 4",VIEnt4,419,44100,62,135,133,934,VIEnt,"Entorhinal area, medial part, ventral zone, layer 4",ENTmv4,,,
"Ventral intermediate entorhinal cortex, layer 5/6",VIEnt5/6,1133,44200,80,140,140,934,VIEnt,"Entorhinal area, medial part, ventral zone, layer 5/6",ENTmv5/6,,,
Medial entorhinal cortex,MEnt,2159,44220,80,140,140,909,ENT,,,,,
"Medial entorhinal cortex, layer 1",MEnt1,2164,44230,80,140,140,2159,MEnt,,,,,
"Medial entorhinal cortex, layer 2",MEnt2,2444,44240,80,140,140,2159,MEnt,,,,,
"Medial entorhinal cortex, layer 3",MEnt3,2445,44250,80,140,140,2159,MEnt,,,,,
"Medial entorhinal cortex, layer 5",MEnt5,2446,44260,80,140,140,2159,MEnt,,,,,
"Medial entorhinal cortex, layer 6",MEnt6,2447,44270,80,140,140,2159,MEnt,,,,,
Caudomedial entothinal cortex,CEnt,2161,44280,80,140,140,909,ENT,,,,,
"Caudomedial entothinal cortex, layer 1",CEnt1,2448,44290,80,140,140,2161,CEnt,,,,,
"Caudomedial entothinal cortex, layer 2",CEnt2,2449,44291,80,140,140,2161,CEnt,,,,,
"Caudomedial entothinal cortex, layer 3",CEnt3,2450,44292,80,140,140,2161,CEnt,,,,,
"Caudomedial entothinal cortex, layer 5",CEnt5,2451,44293,80,140,140,2161,CEnt,,,,,
"Caudomedial entothinal cortex, layer 6",CEnt6,2452,44294,80,140,140,2161,CEnt,,,,,
Parasubiculum,PaS,843,44300,129,255,160,822,RHP,Parasubiculum,PAR,,,
"Parasubiculum, layer 1",PaS1,10693,44400,129,255,160,843,PaS,"Parasubiculum, layer 1",PAR1,,,
"Parasubiculum, layer 2",PaS2,10694,44500,129,255,160,843,PaS,"Parasubiculum, layer 2",PAR2,,,
"Parasubiculum, layer 3",PaS3,10695,44600,129,255,160,843,PaS,"Parasubiculum, layer 3",PAR3,,,
Postsubiculum,Post,1037,44700,128,255,160,822,RHP,Postsubiculum,POST,,,
"Postsubiculum, layer 1",Post1,10696,44800,128,255,160,1037,Post,"Postsubiculum, layer 1",POST1,,,
"Postsubiculum, layer 2",Post2,10697,44900,128,255,160,1037,Post,"Postsubiculum, layer 2",POST2,,,
"Postsubiculum, layer 3",Post3,10698,45000,128,255,160,1037,Post,"Postsubiculum, layer 3",POST3,,,
Presubiculum,PrS,1084,45100,129,255,161,822,RHP,Presubiculum,PRE,,,
"Presubiculum, layer 1",PrS1,10699,45200,129,255,161,1084,PrS,"Presubiculum, layer 1",PRE1,,,
"Presubiculum, layer 2",PrS2,10700,45300,129,255,161,1084,PrS,"Presubiculum, layer 2",PRE2,,,
"Presubiculum, layer 3",PrS3,10701,45400,129,255,161,1084,PrS,"Presubiculum, layer 3",PRE3,,,
Subiculum,SUB,502,45500,128,255,151,822,RHP,Subiculum,SUB,,,
Dorsal subiculum,DS,509,45600,129,255,151,502,SUB,"Subiculum, dorsal part",SUBd,,,
"Dorsal subiculum, molecular layer",DS-m,829,45700,129,255,151,509,DS,"Subiculum, dorsal part, molecular layer",SUBd-m,,,
"Dorsal subiculum, pyramidal layer",DS-sp,845,45800,100,230,121,509,DS,"Subiculum, dorsal part, pyramidal layer",SUBd-sp,,,
"Dorsal subiculum, stratum radiatum",DS-sr,837,45900,129,255,151,509,DS,"Subiculum, dorsal part, stratum radiatum",SUBd-sr,,,
Ventral subiculum,VS,518,46000,130,255,151,502,SUB,"Subiculum, ventral part",SUBv,,,
"Ventral subiculum, molecular layer",VS-m,853,46100,130,255,151,518,VS,"Subiculum, ventral part, molecular layer",SUBv-m,,,
"Ventral subiculum, pyramidal layer",VS-sp,870,46200,100,230,121,518,VS,"Subiculum, ventral part, pyramidal layer",SUBv-sp,,,
"Ventral subiculum, stratum radiatum",VS-sr,861,46300,130,255,151,518,VS,"Subiculum, ventral part, stratum radiatum",SUBv-sr,,,
"Subiculum, transition area",STr,2440,46310,130,255,151,502,SUB,"Subiculum, transition area",SUBt,,,
"Subiculum, transition area, molecular layer",STr-m,2441,46320,130,255,151,2440,STr,"Subiculum, transition area, molecular layer",SUBt-m,,,
"Subiculum, transition area, pyramidal layer",STr-sp,2442,46330,130,255,151,2440,STr,"Subiculum, transition area, pyramidal layer",SUBt-sp,,,
"Subiculum, transition area, stratum radiatum",STr-sr,2443,46340,130,255,151,2440,STr,"Subiculum, transition area, stratum radiatum",SUBt-sr,,,
Cortical subplate,CTXsp,703,46400,80,255,80,688,CTX,Cortical subplate,CTXsp,,,
"Layer 6b, isocortex",6b,16,46500,80,255,81,703,CTXsp,"Layer 6b, isocortex",6b,,,
Claustrum,Cl,583,46600,80,255,85,703,CTXsp,Claustrum,CLA,,,
Dorsal claustrum,DCl,2002,46610,80,255,85,583,Cl,,,,,
Ventral claustrum,VCl,2003,46620,80,255,85,583,Cl,,,,,
Endopiriform nucleus,En,942,46700,80,255,87,703,CTXsp,Endopiriform nucleus,EP,,,
Dorsal endopiriform nucleus,DEn ,952,46800,81,255,87,942,En,"Endopiriform nucleus, dorsal part",EPd,,,
Ventral endopiriform nucleus,VEn,966,46900,82,255,87,942,En,"Endopiriform nucleus, ventral part",EPv,,,
Intermediate endopiriform claustrum,IEn,2085,46910,82,255,87,942,En,,,,,
Retroendopiriform nucleus ,REn,2426,46920,82,255,87,942,En,,,,,
Lateral amygdaloid nucleus,La,131,47000,80,255,88,703,CTXsp,Lateral amygdalar nucleus,LA,,,
"Lateral amygdaloid nucleus, dorsolateral part",LaDL,2068,47010,80,255,88,131,La,,,,,
"Lateral amygdaloid nucleus, ventrolateral part",LaVL,2052,47020,80,255,88,131,La,,,,,
"Lateral amygdaloid nucleus, ventromedial part",LaVM,2060,47030,80,255,88,131,La,,,,,
Basolateral amygdalar nucleus,BL,295,47100,80,255,83,703,CTXsp,Basolateral amygdalar nucleus,BLA,,,
"Basolateral amygdaloid nucleus, anterior part",BLA,303,47200,81,255,83,295,BL,"Basolateral amygdalar nucleus, anterior part",BLAa,,,
"Basolateral amygdaloid nucleus, posterior part",BLP,311,47300,82,255,83,295,BL,"Basolateral amygdalar nucleus, posterior part",BLAp,,,
"Basolateral amygdaloid nucleus, ventral part",BLV,451,47400,73,255,83,295,BL,"Basolateral amygdalar nucleus, ventral part",BLAv,,,
Basomedial amygdalar nucleus,BM,319,47500,80,255,84,703,CTXsp,Basomedial amygdalar nucleus,BMA,,,
"Basomedial amygdaloid nucleus, anterior part",BMA,327,47600,81,255,84,319,BM,"Basomedial amygdalar nucleus, anterior part",BMAa,,,
"Basomedial amygdaloid nucleus, posterior part",BMP,334,47700,82,255,84,319,BM,"Basomedial amygdalar nucleus, posterior part",BMAp,,,
Amygdalohippocampal area,AHi,780,47800,80,255,89,703,CTXsp,Posterior amygdalar nucleus,PA,,,
"Amygdalohippocampal area, anterolateral part",AHiAL,2086,47810,80,255,89,780,AHi,,,,,
"Amygdalohippocampal area, posteromedial part",AHiPM,2087,47820,80,255,89,780,AHi,,,,,
"Amygdalohippocampal area, posterolateral",AHiPL,2088,47830,80,255,89,780,AHi,,,,,
Cerebral nuclei,CNU,623,47900,176,216,255,567,CH,Cerebral nuclei,CNU,,,
Striatum,STR,477,48000,160,200,232,623,CNU,Striatum,STR,,,
Striatum dorsal region,STRd,485,48100,160,216,232,477,STR,Striatum dorsal region,STRd,,,
Caudate Putamen ,CP,672,48200,160,216,248,485,STRd,Caudoputamen,CP,,,
Caudoputamen- rostral extreme,CPre,2376,48210,160,216,248,672,CP,,,,,
Caudoputamen- rostral,CPr,2491,48220,160,216,248,672,CP,,,,,
"Caudoputamen- rostral, medial","CPr, m",2294,48221,160,216,248,2491,CPr,,,,,
"Caudoputamen- rostral, intermediate, dorsal","CPr, imd",2295,48222,160,216,248,2491,CPr,,,,,
"Caudoputamen- rostral, intermediate, ventral","CPr, imv",2296,48223,160,216,248,2491,CPr,,,,,
"Caudoputamen- rostral, lateral","CPr, l",2497,48224,160,216,248,2491,CPr,,,,,
"Caudoputamen- rostral, lateral, lateral strip","CPr, l, ls",2395,48225,160,216,248,2497,"CPr, l",,,,,
"Caudoputamen- rostra,l lateral, ventromedial","CPr, l, vm",2297,48226,160,216,248,2497,"CPr, l",,,,,
Caudoputamen- intermediate,CPi,2492,48230,160,216,248,672,CP,,,,,
"Caudoputamen- intermediate, dorsomedial","CPi, dm",2498,48231,160,216,248,2492,CPi,,,,,
"Caudoputamen- intermediate, dorsomedial, dorsolateral","CPi, dm, dl",2299,48232,160,216,248,2498,"Cpi, dm",,,,,
"Caudoputamen- intermediate, dorsomedial, intermedial","CPi, dm, im",2298,48233,160,216,248,2498,"Cpi, dm",,,,,
"Caudoputamen- intermediate, dorsomedial, central dorsal","CPi, dm, cd",2374,48234,160,216,248,2498,"Cpi, dm",,,,,
"Caudoputamen- intermediate, dorsomedial, dorsal tip ","CPi, dm, dt",2380,48235,160,216,248,2498,"Cpi, dm",,,,,
"Caudoputamen- intermediate, ventromedial","CPi, vm",2500,48236,160,216,248,2492,CPi,,,,,
"Caudoputamen- intermediate, ventromedial, ventromedial","CPi, vm, vm",2302,48237,160,216,248,2500,"CPi, vm",,,,,
"Caudoputamen- intermediate, ventromedial, ventral","CPi, vm, v",2480,48238,160,216,248,2500,"CPi, vm",,,,,
"Caudoputamen- intermediate, ventromedial, central ventromedial","CPi, vm, cvm",2483,48239,160,216,248,2500,"CPi, vm",,,,,
"Caudoputamen- intermediate, dorsolateral, ","CPi, dl",2499,48240,160,216,248,2492,CPi,,,,,
"Caudoputamen- intermediate, dorsolateral, dorsal","CPi, dl, d",2300,48241,160,216,248,2499,"Cpi, dl",,,,,
"Caudoputamen- intermediate, dorsolateral, intermedial dorsal","CPi, dl, imd",2301,48242,160,216,248,2499,"Cpi, dl",,,,,
"Caudoputamen- intermediate, ventrolateral","CPi, vl",2501,48243,160,216,248,2492,CPi,,,,,
"Caudoputamen- intermediate, ventrolateral, intermedial ventral","CPi, vl, imv",2479,48244,160,216,248,2501,"CPi, vl",,,,,
"Caudoputamen- intermediate, ventrolateral, ventral","CPi, vl, v",2482,48245,160,216,248,2501,"CPi, vl",,,,,
"Caudoputamen- intermediate, ventrolateral, ventral tip","CPi, vl, vt",2481,48246,160,216,248,2501,"CPi, vl",,,,,
"Caudoputamen- intermediate, ventrolateral, central ventrolateral","CPi, vl, cvl",2370,48247,160,216,248,2501,"CPi, vl",,,,,
Caudoputamen- caudal,CPc,2496,48250,160,216,248,672,CP,,,,,
"Caudoputamen- caudal, dorsal","CPc, d",2493,48251,160,216,248,2496,CPc,,,,,
"Caudoputamen- caudal, dorsal, dorsomedial","CPc, d, dm",2484,48252,160,216,248,2493,"CPc, d",,,,,
"Caudoputamen- caudal, dorsal, dorsolateral","CPc, d, dl",2485,48253,160,216,248,2493,"CPc, d",,,,,
"Caudoputamen- caudal, dorsal, ventromedial","CPc, d, vm",2486,48254,160,216,248,2493,"CPc, d",,,,,
"Caudoputamen- caudal, intermediate","CPc, i",2494,48255,160,216,248,2496,CPc,,,,,
"Caudoputamen- caudal, intermediate, dorsal","CPc, i, d",2487,48256,160,216,248,2494,"CPc, i",,,,,
"Caudoputamen- caudal, intermediate, ventromedial","CPc, i, vm",2489,48257,160,216,248,2494,"CPc, i",,,,,
"Caudoputamen- caudal, intermediate, ventrolateral","CPc, i, vl",2488,48258,160,216,248,2494,"CPc, i",,,,,
"Caudoputamen- caudal, ventral","CPc, v",2490,48259,160,216,248,2496,CPc,,,,,
Caudoputamen- caudal extreme,CPce,2495,48260,160,216,248,672,CP,,,,,
Lateral stripe of the striatum ,LSS,2001,48270,160,216,248,477,STR,,,,,
Amygdalostriatal transition area,ASt ,2050,48280,160,216,248,477,STR,,,,,
Striatum ventral region,STRv,493,48300,160,232,232,477,STR,Striatum ventral region,STRv,,,
Accumbens nucleus,Acb,56,48400,160,232,224,493,STRv,Nucleus accumbens,ACB,,,
"Accumbens nucleus, core region",AcbC,2074,48410,160,232,224,56,Acb,,,,,
"Accumbens nucleus, shell region",AcbSh,2006,48420,160,232,224,56,Acb,,,,,
"Lateral accumbens, shell region",LAcbSh,2007,48430,160,232,224,56,Acb,,,,,
Interstitial nucleus of the posterior limb of the anterior commissure,IPAC,998,48500,160,228,224,493,STRv,Fundus of striatum,FS,,,
"Interstitial nucleus of the posterior limb of the anterior commissure, medial part",IPACM,2012,48510,160,228,224,998,IPAC,,,,,
"Interstitial nucleus of the posterior limb of the anterior commissure, lateral part",IPACL,2372,48520,160,228,224,998,IPAC,,,,,
Olfactory tubercle,Tu,754,48600,160,224,224,493,STRv,Olfactory tubercle,OT,,,
Island of Calleja,ICj,481,48700,160,224,224,754,Tu,Islands of Calleja,isl,,,
"Island of Calleja, major island",ICjM,489,48800,160,224,224,754,Tu,Major island of Calleja,islm,,,
Olfactory tubercle 1 ,Tu1,458,49000,160,224,224,754,Tu,"Olfactory tubercle, molecular layer",OT1,,,
Olfactory tubercle 2,Tu2,465,49100,160,224,224,754,Tu,"Olfactory tubercle, pyramidal layer",OT2,,,
Olfactory tubercle 3,Tu3,473,49200,160,224,224,754,Tu,"Olfactory tubercle, polymorph layer",OT3,,,
Navicular nucleus of the basal forebrain,Nv,2018,49210,160,224,224,754,Tu,,,,,
Lateral septal complex,LSX,275,49300,160,239,232,477,STR,Lateral septal complex,LSX,,,
Lateral septal nucleus,LS,242,49400,153,239,232,275,LSX,Lateral septal nucleus,LS,,,
"Lateral septal nucleus, dorsal part",LSD,250,49500,153,237,232,242,LS,"Lateral septal nucleus, caudal (caudodorsal) part",LSc,,,
"Lateral septal nucleus, intermediate part",LSI,258,49600,153,237,233,242,LS,"Lateral septal nucleus, rostral (rostroventral) part",LSr,,,
"Lateral septal nucleus, ventral part",LSV,266,49700,153,237,234,242,LS,"Lateral septal nucleus, ventral part",LSv,,,
Zona limitans,ZL,2008,49710,153,237,234,242,LS,,,,,
Septofimbrial nucleus,SFi ,310,49800,147,239,232,275,LSX,Septofimbrial nucleus,SF,,,
Septohippocampal nucleus,SHi ,333,49900,139,239,232,275,LSX,Septohippocampal nucleus,SH,,,
Septohypothalamic nucleus,SHy ,2009,49910,139,239,232,275,LSX,,,,,
Striatum-like amygdalar nuclei,sAMY,278,50000,160,208,232,477,STR,Striatum-like amygdalar nuclei,sAMY,,,
Anterior amygdaloid area,AA,23,50100,186,208,248,278,sAMY,Anterior amygdalar area,AAA,,,
Bed nucleus of the accessory olfactory tract,BAOT,292,50200,160,208,232,278,sAMY,Bed nucleus of the accessory olfactory tract,BA,,,
Central amygdalar nucleus,Ce,536,50300,171,208,248,278,sAMY,Central amygdalar nucleus,CEA,,,
"Central amygdaloid nucleus, capsular part",CeC,544,50400,171,209,248,536,Ce,"Central amygdalar nucleus, capsular part",CEAc,,,
